購入ID,席名,購入者,購入金額,購入日時
29,C7,"久保 テスト",12500,"2023-04-09 21:32:05"
31,C6,"久保 テスト",12500,"2023-04-09 21:32:05"
32,C5,"久保 テスト",12500,"2023-04-09 21:32:05"
33,C4,"久保 テスト",12500,"2023-04-09 21:32:05"
34,C2,"久保 テスト",12500,"2023-04-09 21:32:05"
35,C1,"久保 テスト",12500,"2023-04-09 21:32:05"
41,A5,"久保 テスト",12500,"2023-04-09 21:32:05"
42,A4,"久保 テスト",12500,"2023-04-09 21:32:05"
43,A3,"久保 テスト",12500,"2023-04-09 21:32:05"
45,A1,"久保 テスト",12500,"2023-04-09 21:32:05"
46,A2,"久保 テスト",12500,"2023-04-09 21:32:05"
40,VIP-1,"久保 テスト",12500,"2023-04-09 21:32:05"
39,VIP-2,"久保 テスト",12500,"2023-04-09 21:32:05"
38,VIP-3,"久保 テスト",12500,"2023-04-09 21:32:05"
37,特別フロア,"久保 テスト",12500,"2023-04-09 21:32:05"
36,固執ルームA,"久保 テスト",12500,"2023-04-09 21:32:05"
