購入ID,席名,購入者,購入金額,購入日時
45,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
46,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
43,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
42,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
41,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
40,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
39,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
38,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
37,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
36,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
35,seat_test,"久保 テスト",12500,"2023-04-09 21:32:05"
34,seat_test,"久保 テスト",12500,"2023-04-09 21:32:05"
33,seat_test,"久保 テスト",12500,"2023-04-09 21:32:05"
32,seat_test,"久保 テスト",12500,"2023-04-09 21:32:05"
31,seat_test,"久保 テスト",12500,"2023-04-09 21:32:05"
29,seat_test,"久保 テスト",12500,"2023-04-09 21:32:05"
